© 2000-2017 QIAGEN. All rights reserved.

Canonical Pathway	LCGV.4	LCGV.13	LCGV.22	LCM.4	LCM.13	LCM.22	
Heme Biosynthesis from Uroporphyrinogen-III I	0.0	N/A	N/A	0.0	N/A	N/A	
Pyrimidine Ribonucleotides De Novo Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	
Hepatic Cholestasis	N/A	N/A	N/A	N/A	N/A	N/A	
BER pathway	0.0	N/A	N/A	0.0	N/A	N/A	
RAR Activation	N/A	N/A	N/A	N/A	N/A	N/A	
Mismatch Repair in Eukaryotes	0.0	N/A	N/A	N/A	N/A	N/A	
Molecular Mechanisms of Cancer	N/A	N/A	N/A	N/A	N/A	N/A	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	N/A	N/A	N/A	N/A	N/A	N/A	
IL-17A Signaling in Gastric Cells	N/A	N/A	N/A	N/A	N/A	N/A	
Methionine Degradation I (to Homocysteine)	N/A	N/A	N/A	N/A	N/A	N/A	
Cysteine Biosynthesis III (mammalia)	N/A	N/A	N/A	N/A	N/A	N/A	
Prostate Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Phenylalanine Degradation I (Aerobic)	0.0	N/A	N/A	0.0	N/A	N/A	
HER-2 Signaling in Breast Cancer	N/A	N/A	N/A	N/A	N/A	N/A	
Role of JAK2 in Hormone-like Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Phenylethylamine Degradation I	N/A	N/A	N/A	0.0	N/A	N/A	
Small Cell Lung Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Assembly of RNA Polymerase I Complex	N/A	N/A	N/A	N/A	N/A	N/A	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	
IL-12 Signaling and Production in Macrophages	N/A	N/A	N/A	N/A	N/A	N/A	
Dolichyl-diphosphooligosaccharide Biosynthesis	0.0	N/A	N/A	N/A	N/A	N/A	
IL-17 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
3-phosphoinositide Degradation	N/A	N/A	N/A	N/A	N/A	N/A	
Cell Cycle Control of Chromosomal Replication	N/A	N/A	N/A	N/A	N/A	N/A	
Inosine-5-phosphate Biosynthesis II	0.0	N/A	N/A	0.0	N/A	N/A	
Bladder Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Valine Degradation I	0.0	N/A	N/A	0.0	N/A	N/A	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	0.0	N/A	N/A	0.0	N/A	N/A	
Stearate Biosynthesis I (Animals)	0.0	N/A	N/A	N/A	N/A	N/A	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	N/A	N/A	N/A	N/A	N/A	N/A	
UDP-N-acetyl-D-glucosamine Biosynthesis II	0.0	N/A	N/A	N/A	N/A	N/A	
Granulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	N/A	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	N/A	N/A	N/A	N/A	N/A	N/A	
Agranulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	N/A	
ErbB Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	
Circadian Rhythm Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	
Lysine Degradation II	N/A	N/A	N/A	0.0	N/A	N/A	
Role of PKR in Interferon Induction and Antiviral Response	N/A	N/A	N/A	N/A	N/A	N/A	
Salvage Pathways of Pyrimidine Ribonucleotides	N/A	N/A	N/A	N/A	N/A	N/A	
Role of JAK family kinases in IL-6-type Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Chronic Myeloid Leukemia Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Role of Cytokines in Mediating Communication between Immune Cells	N/A	N/A	N/A	N/A	N/A	N/A	
Glutaryl-CoA Degradation	0.0	N/A	N/A	N/A	N/A	N/A	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	0.0	N/A	N/A	0.0	N/A	N/A	
DNA Methylation and Transcriptional Repression Signaling	0.0	N/A	N/A	N/A	N/A	N/A	
Role of Tissue Factor in Cancer	N/A	N/A	N/A	N/A	N/A	N/A	
tRNA Charging	N/A	N/A	N/A	N/A	N/A	N/A	
D-myo-inositol-5-phosphate Metabolism	N/A	N/A	N/A	N/A	N/A	N/A	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	N/A	N/A	N/A	N/A	N/A	N/A	
NAD Biosynthesis III	0.0	N/A	N/A	N/A	N/A	N/A	
Unfolded protein response	N/A	N/A	N/A	N/A	N/A	N/A	
CDP-diacylglycerol Biosynthesis I	N/A	N/A	N/A	N/A	N/A	N/A	
GADD45 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A	N/A	N/A	N/A	
IL-15 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
IL-17A Signaling in Fibroblasts	N/A	N/A	N/A	N/A	N/A	N/A	
Superpathway of Inositol Phosphate Compounds	N/A	N/A	N/A	N/A	N/A	N/A	
IL-10 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Oxidative Phosphorylation	0.0	N/A	N/A	N/A	N/A	N/A	
autophagy	N/A	N/A	N/A	N/A	N/A	N/A	
Vitamin-C Transport	N/A	N/A	N/A	N/A	N/A	N/A	
Pyridoxal 5-phosphate Salvage Pathway	N/A	N/A	N/A	N/A	N/A	N/A	
Assembly of RNA Polymerase II Complex	0.0	N/A	N/A	N/A	N/A	N/A	
Biotin-carboxyl Carrier Protein Assembly	0.0	N/A	N/A	0.0	N/A	N/A	
Molybdenum Cofactor Biosynthesis	0.0	N/A	N/A	N/A	N/A	N/A	
Protein Ubiquitination Pathway	N/A	N/A	N/A	N/A	N/A	N/A	
NAD Phosphorylation and Dephosphorylation	0.0	N/A	N/A	0.0	N/A	N/A	
DNA Double-Strand Break Repair by Homologous Recombination	0.0	N/A	N/A	0.0	N/A	N/A	
DNA damage-induced 14-3-3σ Signaling	0.0	N/A	N/A	0.0	N/A	N/A	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	
