mir,GO,gene
miR-10b,GO:0007067~mitotic nuclear division,BUB1
miR-10b,GO:0007093~mitotic cell cycle checkpoint,BUB1
miR-10b,GO:0007094~mitotic spindle assembly checkpoint,BUB1
miR-10b,GO:0008283~cell proliferation,BUB1
miR-10b,GO:0016032~viral process,BUB1
miR-10b,GO:0051301~cell division,BUB1
miR-10b,GO:0051983~regulation of chromosome segregation,BUB1
miR-10b,GO:0071173~spindle assembly checkpoint<COMMA>,BUB1
miR-10b,GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,CCNA2
miR-10b,GO:0007067~mitotic nuclear division,CCNA2
miR-10b,GO:0007095~mitotic G2 DNA damage checkpoint,CCNA2
miR-10b,GO:0007265~Ras protein signal transduction,CCNA2
miR-10b,GO:0016032~viral process,CCNA2
miR-10b,GO:0031100~organ regeneration,CCNA2
miR-10b,GO:0033762~response to glucagon,CCNA2
miR-10b,GO:0036120~cellular response to platelet-derived growth factor stimulus,CCNA2
miR-10b,GO:0044320~cellular response to leptin stimulus,CCNA2
miR-10b,GO:0045893~positive regulation of transcription<COMMA> DNA-templated,CCNA2
miR-10b,GO:0048146~positive regulation of fibroblast proliferation,CCNA2
miR-10b,GO:0051301~cell division,CCNA2
miR-10b,GO:0071314~cellular response to cocaine,CCNA2
miR-10b,GO:0071373~cellular response to luteinizing hormone stimulus,CCNA2
miR-10b,GO:0071392~cellular response to estradiol stimulus,CCNA2
miR-10b,GO:0071456~cellular response to hypoxia,CCNA2
miR-10b,GO:0071732~cellular response to nitric oxide,CCNA2
miR-10b,GO:0090102~cochlea development,CCNA2
miR-10b,GO:1990314~cellular response to insulin-like growth factor stimulus<COMMA>,CCNA2
miR-10b,GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,CDKN1A
miR-10b,GO:0000082~G1/S transition of mitotic cell cycle,CDKN1A
miR-10b,GO:0000086~G2/M transition of mitotic cell cycle,CDKN1A
miR-10b,GO:0006974~cellular response to DNA damage stimulus,CDKN1A
miR-10b,GO:0006977~DNA damage response<COMMA> signal transduction by p53 class mediator resulting in cell cycle arrest,CDKN1A
miR-10b,GO:0006978~DNA damage response<COMMA> signal transduction by p53 class mediator resulting in transcription of p21 class mediator,CDKN1A
miR-10b,GO:0007050~cell cycle arrest,CDKN1A
miR-10b,GO:0007265~Ras protein signal transduction,CDKN1A
miR-10b,GO:0007346~regulation of mitotic cell cycle,CDKN1A
miR-10b,GO:0008285~negative regulation of cell proliferation,CDKN1A
miR-10b,GO:0009636~response to toxic substance,CDKN1A
miR-10b,GO:0010165~response to X-ray,CDKN1A
miR-10b,GO:0010243~response to organonitrogen compound,CDKN1A
miR-10b,GO:0010629~negative regulation of gene expression,CDKN1A
miR-10b,GO:0030308~negative regulation of cell growth,CDKN1A
miR-10b,GO:0030890~positive regulation of B cell proliferation,CDKN1A
miR-10b,GO:0031100~organ regeneration,CDKN1A
miR-10b,GO:0031668~cellular response to extracellular stimulus,CDKN1A
miR-10b,GO:0033158~regulation of protein import into nucleus<COMMA> translocation,CDKN1A
miR-10b,GO:0034198~cellular response to amino acid starvation,CDKN1A
miR-10b,GO:0034605~cellular response to heat,CDKN1A
miR-10b,GO:0042326~negative regulation of phosphorylation,CDKN1A
miR-10b,GO:0042493~response to drug,CDKN1A
miR-10b,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,CDKN1A
miR-10b,GO:0043066~negative regulation of apoptotic process,CDKN1A
miR-10b,GO:0043068~positive regulation of programmed cell death,CDKN1A
miR-10b,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,CDKN1A
miR-10b,GO:0045860~positive regulation of protein kinase activity,CDKN1A
miR-10b,GO:0046685~response to arsenic-containing substance,CDKN1A
miR-10b,GO:0048146~positive regulation of fibroblast proliferation,CDKN1A
miR-10b,GO:0050821~protein stabilization,CDKN1A
miR-10b,GO:0051412~response to corticosterone,CDKN1A
miR-10b,GO:0055093~response to hyperoxia,CDKN1A
miR-10b,GO:0060574~intestinal epithelial cell maturation,CDKN1A
miR-10b,GO:0071479~cellular response to ionizing radiation,CDKN1A
miR-10b,GO:0071480~cellular response to gamma radiation,CDKN1A
miR-10b,GO:0071493~cellular response to UV-B,CDKN1A
miR-10b,GO:0071850~mitotic cell cycle arrest,CDKN1A
miR-10b,GO:0090398~cellular senescence,CDKN1A
miR-10b,GO:0090399~replicative senescence,CDKN1A
miR-10b,GO:0090400~stress-induced premature senescence,CDKN1A
miR-10b,GO:0097193~intrinsic apoptotic signaling pathway,CDKN1A
miR-10b,GO:1904031~positive regulation of cyclin-dependent protein kinase activity,CDKN1A
miR-10b,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,CDKN1A
miR-10b,GO:2000278~regulation of DNA biosynthetic process,CDKN1A
miR-10b,GO:2000379~positive regulation of reactive oxygen species metabolic process<COMMA>,CDKN1A
miR-10b,GO:0000082~G1/S transition of mitotic cell cycle,CDKN2A
miR-10b,GO:0000209~protein polyubiquitination,CDKN2A
miR-10b,GO:0000422~mitophagy,CDKN2A
miR-10b,GO:0001953~negative regulation of cell-matrix adhesion,CDKN2A
miR-10b,GO:0006351~transcription<COMMA> DNA-templated,CDKN2A
miR-10b,GO:0006364~rRNA processing,CDKN2A
miR-10b,GO:0006469~negative regulation of protein kinase activity,CDKN2A
miR-10b,GO:0006915~apoptotic process,CDKN2A
miR-10b,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,CDKN2A
miR-10b,GO:0007050~cell cycle arrest,CDKN2A
miR-10b,GO:0007265~Ras protein signal transduction,CDKN2A
miR-10b,GO:0008285~negative regulation of cell proliferation,CDKN2A
miR-10b,GO:0008637~apoptotic mitochondrial changes,CDKN2A
miR-10b,GO:0010389~regulation of G2/M transition of mitotic cell cycle,CDKN2A
miR-10b,GO:0016925~protein sumoylation,CDKN2A
miR-10b,GO:0030308~negative regulation of cell growth,CDKN2A
miR-10b,GO:0030889~negative regulation of B cell proliferation,CDKN2A
miR-10b,GO:0031647~regulation of protein stability,CDKN2A
miR-10b,GO:0031648~protein destabilization,CDKN2A
miR-10b,GO:0032088~negative regulation of NF-kappaB transcription factor activity,CDKN2A
miR-10b,GO:0033088~negative regulation of immature T cell proliferation in thymus,CDKN2A
miR-10b,GO:0033235~positive regulation of protein sumoylation,CDKN2A
miR-10b,GO:0034393~positive regulation of smooth muscle cell apoptotic process,CDKN2A
miR-10b,GO:0035986~senescence-associated heterochromatin focus assembly,CDKN2A
miR-10b,GO:0042326~negative regulation of phosphorylation,CDKN2A
miR-10b,GO:0043065~positive regulation of apoptotic process,CDKN2A
miR-10b,GO:0043517~positive regulation of DNA damage response<COMMA> signal transduction by p53 class mediator,CDKN2A
miR-10b,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,CDKN2A
miR-10b,GO:0045892~negative regulation of transcription<COMMA> DNA-templated,CDKN2A
miR-10b,GO:0045893~positive regulation of transcription<COMMA> DNA-templated,CDKN2A
miR-10b,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,CDKN2A
miR-10b,GO:0046825~regulation of protein export from nucleus,CDKN2A
miR-10b,GO:0048103~somatic stem cell division,CDKN2A
miR-10b,GO:0050821~protein stabilization,CDKN2A
miR-10b,GO:0051444~negative regulation of ubiquitin-protein transferase activity,CDKN2A
miR-10b,GO:0051882~mitochondrial depolarization,CDKN2A
miR-10b,GO:0070534~protein K63-linked ubiquitination,CDKN2A
miR-10b,GO:0071158~positive regulation of cell cycle arrest,CDKN2A
miR-10b,GO:0090398~cellular senescence,CDKN2A
miR-10b,GO:0090399~replicative senescence,CDKN2A
miR-10b,GO:1900182~positive regulation of protein localization to nucleus,CDKN2A
miR-10b,GO:1901798~positive regulation of signal transduction by p53 class mediator,CDKN2A
miR-10b,GO:1902510~regulation of apoptotic DNA fragmentation,CDKN2A
miR-10b,GO:1903051~negative regulation of proteolysis involved in cellular protein catabolic process,CDKN2A
miR-10b,GO:1903214~regulation of protein targeting to mitochondrion,CDKN2A
miR-10b,GO:2000059~negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,CDKN2A
miR-10b,GO:2000111~positive regulation of macrophage apoptotic process,CDKN2A
miR-10b,GO:2000774~positive regulation of cellular senescence<COMMA>,CDKN2A
miR-10b,GO:0002230~positive regulation of defense response to virus by host,DDX58
miR-10b,GO:0009597~detection of virus,DDX58
miR-10b,GO:0009615~response to virus,DDX58
miR-10b,GO:0010628~positive regulation of gene expression,DDX58
miR-10b,GO:0030334~regulation of cell migration,DDX58
miR-10b,GO:0032480~negative regulation of type I interferon production,DDX58
miR-10b,GO:0032725~positive regulation of granulocyte macrophage colony-stimulating factor production,DDX58
miR-10b,GO:0032727~positive regulation of interferon-alpha production,DDX58
miR-10b,GO:0032728~positive regulation of interferon-beta production,DDX58
miR-10b,GO:0032755~positive regulation of interleukin-6 production,DDX58
miR-10b,GO:0032757~positive regulation of interleukin-8 production,DDX58
miR-10b,GO:0034344~regulation of type III interferon production,DDX58
miR-10b,GO:0039528~cytoplasmic pattern recognition receptor signaling pathway in response to virus,DDX58
miR-10b,GO:0039529~RIG-I signaling pathway,DDX58
miR-10b,GO:0042993~positive regulation of transcription factor import into nucleus,DDX58
miR-10b,GO:0043330~response to exogenous dsRNA,DDX58
miR-10b,GO:0045087~innate immune response,DDX58
miR-10b,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,DDX58
miR-10b,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity<COMMA>,DDX58
miR-10b,GO:0006351~transcription<COMMA> DNA-templated,HOXD10
miR-10b,GO:0007338~single fertilization,HOXD10
miR-10b,GO:0007519~skeletal muscle tissue development,HOXD10
miR-10b,GO:0008344~adult locomotory behavior,HOXD10
miR-10b,GO:0009952~anterior/posterior pattern specification,HOXD10
miR-10b,GO:0009954~proximal/distal pattern formation,HOXD10
miR-10b,GO:0021520~spinal cord motor neuron cell fate specification,HOXD10
miR-10b,GO:0030326~embryonic limb morphogenesis,HOXD10
miR-10b,GO:0035136~forelimb morphogenesis,HOXD10
miR-10b,GO:0035137~hindlimb morphogenesis,HOXD10
miR-10b,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,HOXD10
miR-10b,GO:0048704~embryonic skeletal system morphogenesis,HOXD10
miR-10b,GO:0048935~peripheral nervous system neuron development,HOXD10
miR-10b,GO:0050905~neuromuscular process<COMMA>,HOXD10
miR-10b,GO:0001525~angiogenesis,HTATIP2
miR-10b,GO:0006357~regulation of transcription from RNA polymerase II promoter,HTATIP2
miR-10b,GO:0006915~apoptotic process,HTATIP2
miR-10b,GO:0016032~viral process,HTATIP2
miR-10b,GO:0030154~cell differentiation,HTATIP2
miR-10b,GO:0043066~negative regulation of apoptotic process,HTATIP2
miR-10b,GO:0045765~regulation of angiogenesis,HTATIP2
miR-10b,GO:0051170~nuclear import,HTATIP2
miR-10b,GO:0055114~oxidation-reduction process<COMMA>,HTATIP2
miR-10b,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,KLF4
miR-10b,GO:0006366~transcription from RNA polymerase II promoter,KLF4
miR-10b,GO:0007500~mesodermal cell fate determination,KLF4
miR-10b,GO:0008285~negative regulation of cell proliferation,KLF4
miR-10b,GO:0009913~epidermal cell differentiation,KLF4
miR-10b,GO:0010628~positive regulation of gene expression,KLF4
miR-10b,GO:0010629~negative regulation of gene expression,KLF4
miR-10b,GO:0014067~negative regulation of phosphatidylinositol 3-kinase signaling,KLF4
miR-10b,GO:0014740~negative regulation of muscle hyperplasia,KLF4
miR-10b,GO:0019827~stem cell population maintenance,KLF4
miR-10b,GO:0031077~post-embryonic camera-type eye development,KLF4
miR-10b,GO:0032088~negative regulation of NF-kappaB transcription factor activity,KLF4
miR-10b,GO:0032270~positive regulation of cellular protein metabolic process,KLF4
miR-10b,GO:0034115~negative regulation of heterotypic cell-cell adhesion,KLF4
miR-10b,GO:0035019~somatic stem cell population maintenance,KLF4
miR-10b,GO:0035166~post-embryonic hemopoiesis,KLF4
miR-10b,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,KLF4
miR-10b,GO:0043551~regulation of phosphatidylinositol 3-kinase activity,KLF4
miR-10b,GO:0045415~negative regulation of interleukin-8 biosynthetic process,KLF4
miR-10b,GO:0045429~positive regulation of nitric oxide biosynthetic process,KLF4
miR-10b,GO:0045444~fat cell differentiation,KLF4
miR-10b,GO:0045595~regulation of cell differentiation,KLF4
miR-10b,GO:0045892~negative regulation of transcription<COMMA> DNA-templated,KLF4
miR-10b,GO:0045893~positive regulation of transcription<COMMA> DNA-templated,KLF4
miR-10b,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,KLF4
miR-10b,GO:0046985~positive regulation of hemoglobin biosynthetic process,KLF4
miR-10b,GO:0048662~negative regulation of smooth muscle cell proliferation,KLF4
miR-10b,GO:0048679~regulation of axon regeneration,KLF4
miR-10b,GO:0048730~epidermis morphogenesis,KLF4
miR-10b,GO:0050728~negative regulation of inflammatory response,KLF4
miR-10b,GO:0051247~positive regulation of protein metabolic process,KLF4
miR-10b,GO:0051898~negative regulation of protein kinase B signaling,KLF4
miR-10b,GO:0051973~positive regulation of telomerase activity,KLF4
miR-10b,GO:0060070~canonical Wnt signaling pathway,KLF4
miR-10b,GO:0060761~negative regulation of response to cytokine stimulus,KLF4
miR-10b,GO:0070301~cellular response to hydrogen peroxide,KLF4
miR-10b,GO:0070373~negative regulation of ERK1 and ERK2 cascade,KLF4
miR-10b,GO:0071300~cellular response to retinoic acid,KLF4
miR-10b,GO:0071363~cellular response to growth factor stimulus,KLF4
miR-10b,GO:0071409~cellular response to cycloheximide,KLF4
miR-10b,GO:0071499~cellular response to laminar fluid shear stress,KLF4
miR-10b,GO:0090051~negative regulation of cell migration involved in sprouting angiogenesis,KLF4
miR-10b,GO:1901653~cellular response to peptide,KLF4
miR-10b,GO:1904998~negative regulation of leukocyte adhesion to arterial endothelial cell,KLF4
miR-10b,GO:2000342~negative regulation of chemokine (C-X-C motif) ligand 2 production,KLF4
miR-10b,GO:2000679~positive regulation of transcription regulatory region DNA binding<COMMA>,KLF4
miR-10b,GO:0000086~G2/M transition of mitotic cell cycle,MAPRE1
miR-10b,GO:0007062~sister chromatid cohesion,MAPRE1
miR-10b,GO:0007067~mitotic nuclear division,MAPRE1
miR-10b,GO:0008283~cell proliferation,MAPRE1
miR-10b,GO:0030335~positive regulation of cell migration,MAPRE1
miR-10b,GO:0031115~negative regulation of microtubule polymerization,MAPRE1
miR-10b,GO:0035372~protein localization to microtubule,MAPRE1
miR-10b,GO:0051301~cell division,MAPRE1
miR-10b,GO:0098609~cell-cell adhesion,MAPRE1
miR-10b,GO:1903033~positive regulation of microtubule plus-end binding,MAPRE1
miR-10b,GO:1904527~negative regulation of microtubule binding<COMMA>,MAPRE1
miR-10b,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,NCOR2
miR-10b,GO:0006351~transcription<COMMA> DNA-templated,NCOR2
miR-10b,GO:0007595~lactation,NCOR2
miR-10b,GO:0010243~response to organonitrogen compound,NCOR2
miR-10b,GO:0032355~response to estradiol,NCOR2
miR-10b,GO:0044255~cellular lipid metabolic process,NCOR2
miR-10b,GO:0044849~estrous cycle,NCOR2
miR-10b,GO:0072365~regulation of cellular ketone metabolic process by negative regulation of transcription from RNA polymerase II promoter,NCOR2
miR-10b,GO:1903799~negative regulation of production of miRNAs involved in gene silencing by miRNA<COMMA>,NCOR2
miR-10b,GO:0000165~MAPK cascade,NF1
miR-10b,GO:0001649~osteoblast differentiation,NF1
miR-10b,GO:0001656~metanephros development,NF1
miR-10b,GO:0001666~response to hypoxia,NF1
miR-10b,GO:0001889~liver development,NF1
miR-10b,GO:0001937~negative regulation of endothelial cell proliferation,NF1
miR-10b,GO:0001938~positive regulation of endothelial cell proliferation,NF1
miR-10b,GO:0001952~regulation of cell-matrix adhesion,NF1
miR-10b,GO:0001953~negative regulation of cell-matrix adhesion,NF1
miR-10b,GO:0006469~negative regulation of protein kinase activity,NF1
miR-10b,GO:0007154~cell communication,NF1
miR-10b,GO:0007165~signal transduction,NF1
miR-10b,GO:0007265~Ras protein signal transduction,NF1
miR-10b,GO:0007406~negative regulation of neuroblast proliferation,NF1
miR-10b,GO:0007420~brain development,NF1
miR-10b,GO:0007422~peripheral nervous system development,NF1
miR-10b,GO:0007507~heart development,NF1
miR-10b,GO:0007519~skeletal muscle tissue development,NF1
miR-10b,GO:0008542~visual learning,NF1
miR-10b,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,NF1
miR-10b,GO:0010468~regulation of gene expression,NF1
miR-10b,GO:0014044~Schwann cell development,NF1
miR-10b,GO:0014065~phosphatidylinositol 3-kinase signaling,NF1
miR-10b,GO:0016525~negative regulation of angiogenesis,NF1
miR-10b,GO:0021510~spinal cord development,NF1
miR-10b,GO:0021764~amygdala development,NF1
miR-10b,GO:0021897~forebrain astrocyte development,NF1
miR-10b,GO:0021915~neural tube development,NF1
miR-10b,GO:0021987~cerebral cortex development,NF1
miR-10b,GO:0022011~myelination in peripheral nervous system,NF1
miR-10b,GO:0030036~actin cytoskeleton organization,NF1
miR-10b,GO:0030198~extracellular matrix organization,NF1
miR-10b,GO:0030199~collagen fibril organization,NF1
miR-10b,GO:0030325~adrenal gland development,NF1
miR-10b,GO:0030336~negative regulation of cell migration,NF1
miR-10b,GO:0032228~regulation of synaptic transmission<COMMA> GABAergic,NF1
miR-10b,GO:0034605~cellular response to heat,NF1
miR-10b,GO:0035021~negative regulation of Rac protein signal transduction,NF1
miR-10b,GO:0042060~wound healing,NF1
miR-10b,GO:0042992~negative regulation of transcription factor import into nucleus,NF1
miR-10b,GO:0043065~positive regulation of apoptotic process,NF1
miR-10b,GO:0043087~regulation of GTPase activity,NF1
miR-10b,GO:0043407~negative regulation of MAP kinase activity,NF1
miR-10b,GO:0043409~negative regulation of MAPK cascade,NF1
miR-10b,GO:0043473~pigmentation,NF1
miR-10b,GO:0043525~positive regulation of neuron apoptotic process,NF1
miR-10b,GO:0043535~regulation of blood vessel endothelial cell migration,NF1
miR-10b,GO:0043547~positive regulation of GTPase activity,NF1
miR-10b,GO:0045124~regulation of bone resorption,NF1
miR-10b,GO:0045671~negative regulation of osteoclast differentiation,NF1
miR-10b,GO:0045685~regulation of glial cell differentiation,NF1
miR-10b,GO:0045762~positive regulation of adenylate cyclase activity,NF1
miR-10b,GO:0045765~regulation of angiogenesis,NF1
miR-10b,GO:0046580~negative regulation of Ras protein signal transduction,NF1
miR-10b,GO:0046929~negative regulation of neurotransmitter secretion,NF1
miR-10b,GO:0048147~negative regulation of fibroblast proliferation,NF1
miR-10b,GO:0048169~regulation of long-term neuronal synaptic plasticity,NF1
miR-10b,GO:0048485~sympathetic nervous system development,NF1
miR-10b,GO:0048593~camera-type eye morphogenesis,NF1
miR-10b,GO:0048712~negative regulation of astrocyte differentiation,NF1
miR-10b,GO:0048715~negative regulation of oligodendrocyte differentiation,NF1
miR-10b,GO:0048745~smooth muscle tissue development,NF1
miR-10b,GO:0048844~artery morphogenesis,NF1
miR-10b,GO:0048853~forebrain morphogenesis,NF1
miR-10b,GO:0050890~cognition,NF1
miR-10b,GO:0061534~gamma-aminobutyric acid secretion<COMMA> neurotransmission,NF1
miR-10b,GO:0061535~glutamate secretion<COMMA> neurotransmission,NF1
miR-10b,GO:0098597~observational learning,NF1
miR-10b,GO:1900271~regulation of long-term synaptic potentiation,NF1
miR-10b,GO:1902043~positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,NF1
miR-10b,GO:2001241~positive regulation of extrinsic apoptotic signaling pathway in absence of ligand<COMMA>,NF1
miR-10b,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,NOTCH1
miR-10b,GO:0001701~in utero embryonic development,NOTCH1
miR-10b,GO:0001708~cell fate specification,NOTCH1
miR-10b,GO:0001837~epithelial to mesenchymal transition,NOTCH1
miR-10b,GO:0001889~liver development,NOTCH1
miR-10b,GO:0001947~heart looping,NOTCH1
miR-10b,GO:0002040~sprouting angiogenesis,NOTCH1
miR-10b,GO:0002052~positive regulation of neuroblast proliferation,NOTCH1
miR-10b,GO:0002437~inflammatory response to antigenic stimulus,NOTCH1
miR-10b,GO:0003157~endocardium development,NOTCH1
miR-10b,GO:0003160~endocardium morphogenesis,NOTCH1
miR-10b,GO:0003162~atrioventricular node development,NOTCH1
miR-10b,GO:0003169~coronary vein morphogenesis,NOTCH1
miR-10b,GO:0003180~aortic valve morphogenesis,NOTCH1
miR-10b,GO:0003181~atrioventricular valve morphogenesis,NOTCH1
miR-10b,GO:0003184~pulmonary valve morphogenesis,NOTCH1
miR-10b,GO:0003192~mitral valve formation,NOTCH1
miR-10b,GO:0003198~epithelial to mesenchymal transition involved in endocardial cushion formation,NOTCH1
miR-10b,GO:0003203~endocardial cushion morphogenesis,NOTCH1
miR-10b,GO:0003207~cardiac chamber formation,NOTCH1
miR-10b,GO:0003208~cardiac ventricle morphogenesis,NOTCH1
miR-10b,GO:0003209~cardiac atrium morphogenesis,NOTCH1
miR-10b,GO:0003213~cardiac right atrium morphogenesis,NOTCH1
miR-10b,GO:0003214~cardiac left ventricle morphogenesis,NOTCH1
miR-10b,GO:0003219~cardiac right ventricle formation,NOTCH1
miR-10b,GO:0003222~ventricular trabecula myocardium morphogenesis,NOTCH1
miR-10b,GO:0003241~growth involved in heart morphogenesis,NOTCH1
miR-10b,GO:0003256~regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation,NOTCH1
miR-10b,GO:0003270~Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation,NOTCH1
miR-10b,GO:0003273~cell migration involved in endocardial cushion formation,NOTCH1
miR-10b,GO:0003344~pericardium morphogenesis,NOTCH1
miR-10b,GO:0006355~regulation of transcription<COMMA> DNA-templated,NOTCH1
miR-10b,GO:0006367~transcription initiation from RNA polymerase II promoter,NOTCH1
miR-10b,GO:0006955~immune response,NOTCH1
miR-10b,GO:0006959~humoral immune response,NOTCH1
miR-10b,GO:0007219~Notch signaling pathway,NOTCH1
miR-10b,GO:0007221~positive regulation of transcription of Notch receptor target,NOTCH1
miR-10b,GO:0007275~multicellular organism development,NOTCH1
miR-10b,GO:0007283~spermatogenesis,NOTCH1
miR-10b,GO:0007368~determination of left/right symmetry,NOTCH1
miR-10b,GO:0007386~compartment pattern specification,NOTCH1
miR-10b,GO:0007409~axonogenesis,NOTCH1
miR-10b,GO:0007440~foregut morphogenesis,NOTCH1
miR-10b,GO:0007492~endoderm development,NOTCH1
miR-10b,GO:0007507~heart development,NOTCH1
miR-10b,GO:0008284~positive regulation of cell proliferation,NOTCH1
miR-10b,GO:0008285~negative regulation of cell proliferation,NOTCH1
miR-10b,GO:0009912~auditory receptor cell fate commitment,NOTCH1
miR-10b,GO:0010718~positive regulation of epithelial to mesenchymal transition,NOTCH1
miR-10b,GO:0010812~negative regulation of cell-substrate adhesion,NOTCH1
