© 2000-2017 QIAGEN. All rights reserved.

Canonical Pathway	LIGV.4	LIM.4	LIM.13	LIGV.13	LIM.22	
Choline Biosynthesis III	N/A	N/A	N/A	0.0	N/A	
Chondroitin and Dermatan Biosynthesis	0.0	0.0	0.0	0.0	N/A	
Clathrin-mediated Endocytosis Signaling	N/A	N/A	N/A	0.0	N/A	
Communication between Innate and Adaptive Immune Cells	N/A	N/A	N/A	N/A	N/A	
Crosstalk between Dendritic Cells and Natural Killer Cells	N/A	N/A	N/A	N/A	N/A	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	N/A	N/A	N/A	N/A	N/A	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	N/A	N/A	N/A	N/A	N/A	
D-myo-inositol-5-phosphate Metabolism	N/A	N/A	N/A	N/A	N/A	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	N/A	N/A	N/A	0.0	N/A	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	N/A	N/A	N/A	0.0	N/A	
Docosahexaenoic Acid (DHA) Signaling	N/A	N/A	N/A	0.0	N/A	
Dopamine Degradation	0.0	N/A	N/A	N/A	N/A	
Eicosanoid Signaling	N/A	N/A	N/A	N/A	N/A	
Endometrial Cancer Signaling	N/A	N/A	N/A	0.0	N/A	
ErbB Signaling	N/A	N/A	N/A	0.0	N/A	
Erythropoietin Signaling	N/A	N/A	N/A	0.0	N/A	
Estrogen Biosynthesis	0.0	N/A	N/A	0.0	N/A	
Ethanol Degradation II	0.0	N/A	N/A	N/A	N/A	
Ethanol Degradation IV	0.0	N/A	N/A	N/A	N/A	
Extrinsic Prothrombin Activation Pathway	0.0	N/A	N/A	N/A	N/A	
FAK Signaling	N/A	N/A	N/A	N/A	N/A	
FXR/RXR Activation	N/A	N/A	N/A	N/A	N/A	
Fatty Acid Biosynthesis Initiation II	N/A	N/A	0.0	0.0	0.0	
Fatty Acid α-oxidation	N/A	N/A	N/A	N/A	N/A	
G-Protein Coupled Receptor Signaling	N/A	N/A	N/A	N/A	N/A	
GDP-L-fucose Biosynthesis II (from L-fucose)	N/A	N/A	0.0	0.0	0.0	
Glucocorticoid Receptor Signaling	N/A	N/A	N/A	N/A	N/A	
Glutamine Biosynthesis I	0.0	0.0	0.0	0.0	N/A	
Glutathione Redox Reactions I	0.0	0.0	N/A	0.0	N/A	
Glycogen Degradation II	0.0	N/A	N/A	N/A	N/A	
Glycogen Degradation III	0.0	N/A	N/A	N/A	N/A	
Graft-versus-Host Disease Signaling	N/A	N/A	N/A	0.0	N/A	
Granulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	
Granzyme A Signaling	0.0	0.0	N/A	N/A	N/A	
Granzyme B Signaling	N/A	N/A	N/A	0.0	N/A	
Guanosine Nucleotides Degradation III	0.0	N/A	N/A	N/A	N/A	
HER-2 Signaling in Breast Cancer	N/A	N/A	N/A	0.0	N/A	
HIF1α Signaling	N/A	N/A	N/A	N/A	N/A	
Hematopoiesis from Pluripotent Stem Cells	N/A	N/A	N/A	0.0	N/A	
Hepatic Cholestasis	N/A	N/A	N/A	N/A	N/A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A	N/A	N/A	
Histamine Degradation	0.0	N/A	N/A	N/A	N/A	
IL-10 Signaling	N/A	N/A	N/A	0.0	N/A	
IL-17 Signaling	N/A	N/A	N/A	N/A	N/A	
IL-17A Signaling in Fibroblasts	N/A	N/A	N/A	0.0	N/A	
IL-17A Signaling in Gastric Cells	N/A	N/A	N/A	N/A	N/A	
IL-4 Signaling	N/A	N/A	N/A	0.0	N/A	
Inhibition of Matrix Metalloproteases	N/A	N/A	N/A	N/A	N/A	
L-cysteine Degradation II	0.0	0.0	0.0	0.0	N/A	
Lanosterol Biosynthesis	0.0	0.0	0.0	N/A	0.0	
Lipoate Biosynthesis and Incorporation II	N/A	N/A	0.0	0.0	0.0	
Lipoate Salvage and Modification	N/A	N/A	0.0	0.0	0.0	
Melatonin Degradation I	0.0	N/A	N/A	0.0	N/A	
Methylglyoxal Degradation III	0.0	0.0	N/A	0.0	N/A	
Mevalonate Pathway I	0.0	0.0	N/A	N/A	0.0	
Molecular Mechanisms of Cancer	N/A	N/A	N/A	N/A	N/A	
NAD Salvage Pathway II	0.0	N/A	N/A	N/A	N/A	
Neuroprotective Role of THOP1 in Alzheimers Disease	N/A	N/A	N/A	N/A	N/A	
Oleate Biosynthesis II (Animals)	0.0	0.0	0.0	N/A	0.0	
Ovarian Cancer Signaling	N/A	N/A	N/A	N/A	N/A	
Oxidative Ethanol Degradation III	0.0	N/A	N/A	N/A	N/A	
Palmitate Biosynthesis I (Animals)	N/A	N/A	0.0	0.0	0.0	
Pathogenesis of Multiple Sclerosis	N/A	N/A	N/A	N/A	0.0	
Proline Degradation	0.0	0.0	N/A	N/A	N/A	
Prostanoid Biosynthesis	N/A	N/A	N/A	0.0	N/A	
Protein Citrullination	0.0	N/A	N/A	N/A	N/A	
Purine Nucleotides Degradation II (Aerobic)	0.0	N/A	N/A	N/A	N/A	
Putrescine Biosynthesis III	N/A	N/A	0.0	0.0	N/A	
Putrescine Degradation III	0.0	N/A	N/A	N/A	N/A	
RAR Activation	N/A	N/A	N/A	N/A	N/A	
Regulation of the Epithelial-Mesenchymal Transition Pathway	N/A	N/A	N/A	N/A	N/A	
Retinoate Biosynthesis I	N/A	N/A	N/A	N/A	N/A	
Role of Cytokines in Mediating Communication between Immune Cells	N/A	N/A	N/A	N/A	N/A	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	
Role of IL-17A in Arthritis	N/A	N/A	N/A	0.0	N/A	
Role of IL-17A in Psoriasis	N/A	N/A	N/A	0.0	N/A	
Role of JAK1 and JAK3 in γc Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	N/A	N/A	N/A	N/A	N/A	
Role of JAK2 in Hormone-like Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	
Role of PKR in Interferon Induction and Antiviral Response	N/A	N/A	N/A	N/A	N/A	
Role of Tissue Factor in Cancer	N/A	N/A	N/A	N/A	N/A	
Semaphorin Signaling in Neurons	N/A	N/A	N/A	N/A	N/A	
Serine Biosynthesis	0.0	0.0	0.0	0.0	N/A	
Serotonin Degradation	0.0	N/A	N/A	N/A	N/A	
Small Cell Lung Cancer Signaling	N/A	N/A	N/A	0.0	N/A	
Superoxide Radicals Degradation	0.0	N/A	N/A	0.0	N/A	
Superpathway of Cholesterol Biosynthesis	0.0	0.0	N/A	N/A	0.0	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	0.0	0.0	N/A	N/A	0.0	
Superpathway of Inositol Phosphate Compounds	N/A	N/A	N/A	N/A	N/A	
Superpathway of Melatonin Degradation	0.0	N/A	N/A	0.0	N/A	
Superpathway of Serine and Glycine Biosynthesis I	0.0	0.0	0.0	0.0	N/A	
Th1 and Th2 Activation Pathway	N/A	N/A	N/A	N/A	N/A	
Thioredoxin Pathway	N/A	N/A	N/A	0.0	N/A	
Tryptophan Degradation X (Mammalian, via Tryptamine)	0.0	N/A	N/A	N/A	N/A	
Unfolded protein response	N/A	N/A	N/A	N/A	N/A	
Vitamin-C Transport	N/A	N/A	N/A	0.0	N/A	
Xenobiotic Metabolism Signaling	N/A	N/A	N/A	N/A	N/A	
nNOS Signaling in Skeletal Muscle Cells	N/A	N/A	N/A	0.0	N/A	
tRNA Splicing	N/A	N/A	N/A	0.0	N/A	
γ-glutamyl Cycle	0.0	N/A	N/A	0.0	N/A	
