© 2000-2017 QIAGEN. All rights reserved.

Canonical Pathway	GVM.4	GVM.13	GVM.22	
Role of Cytokines in Mediating Communication between Immune Cells	N/A	N/A	N/A	
Putrescine Degradation III	N/A	N/A	N/A	
Superoxide Radicals Degradation	N/A	N/A	N/A	
Role of Tissue Factor in Cancer	N/A	N/A	N/A	
G-Protein Coupled Receptor Signaling	N/A	N/A	N/A	
Asparagine Biosynthesis I	0.0	0.0	N/A	
Dopamine Degradation	N/A	N/A	N/A	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	N/A	N/A	N/A	
tRNA Charging	N/A	0.0	N/A	
D-myo-inositol-5-phosphate Metabolism	N/A	N/A	N/A	
Unfolded protein response	N/A	N/A	N/A	
Aldosterone Signaling in Epithelial Cells	0.0	N/A	N/A	
GADD45 Signaling	N/A	0.0	N/A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A	
Tryptophan Degradation X (Mammalian, via Tryptamine)	N/A	N/A	N/A	
IL-15 Signaling	N/A	N/A	N/A	
IL-17A Signaling in Fibroblasts	N/A	N/A	N/A	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	N/A	N/A	N/A	
IL-10 Signaling	N/A	N/A	N/A	
Noradrenaline and Adrenaline Degradation	N/A	N/A	N/A	
Vitamin-C Transport	N/A	0.0	0.0	
Neuroprotective Role of THOP1 in Alzheimers Disease	N/A	N/A	N/A	
CD27 Signaling in Lymphocytes	N/A	N/A	0.0	
NAD Phosphorylation and Dephosphorylation	0.0	N/A	N/A	
Aryl Hydrocarbon Receptor Signaling	N/A	N/A	N/A	
Inhibition of Matrix Metalloproteases	N/A	N/A	N/A	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	N/A	N/A	N/A	
PEDF Signaling	N/A	N/A	0.0	
γ-glutamyl Cycle	N/A	0.0	N/A	
Graft-versus-Host Disease Signaling	N/A	N/A	N/A	
