miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez Gene ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT006433	hsa-miR-200c-3p	Homo sapiens	MSN	4478	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21501518
MIRT003959	hsa-miR-200c-3p	Homo sapiens	FN1	2335	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21501518
MIRT006434	hsa-miR-200c-3p	Homo sapiens	NTRK2	4915	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21501518
MIRT006435	hsa-miR-192-5p	Homo sapiens	RB1	5925	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21511813
MIRT006435	hsa-miR-192-5p	Homo sapiens	RB1	5925	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24012720
MIRT006438	hsa-miR-296-5p	Homo sapiens	SCRIB	23513	Homo sapiens	Luciferase reporter assay	Functional MTI	21643016
MIRT000055	hsa-miR-375	Homo sapiens	PDK1	5163	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21533613
MIRT000055	hsa-miR-375	Homo sapiens	PDK1	5163	Homo sapiens	Western blot	Functional MTI	20215506
MIRT000055	hsa-miR-375	Homo sapiens	PDK1	5163	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24137444
MIRT000055	hsa-miR-375	Homo sapiens	PDK1	5163	Homo sapiens	Luciferase reporter assay	Functional MTI	24481267
MIRT006439	hsa-miR-155-5p	Homo sapiens	KDM3A	55818	Homo sapiens	In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot//Immunohistochemistry//Microarray	Functional MTI	21541331
MIRT006440	hsa-miR-200b-3p	Homo sapiens	VEGFA	7422	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	21544626
MIRT006441	hsa-miR-200b-3p	Homo sapiens	FLT1	2321	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	21544626
MIRT006442	hsa-miR-200b-3p	Homo sapiens	KDR	3791	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	21544626
MIRT006442	hsa-miR-200b-3p	Homo sapiens	KDR	3791	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22499991
MIRT006443	hsa-miR-342-3p	Homo sapiens	DNMT1	1786	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21565830
MIRT006444	hsa-miR-22-3p	Homo sapiens	TCEAL1	9338	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	21565979
MIRT006445	hsa-miR-449a	Homo sapiens	BCL2	596	Homo sapiens	ChIP-seq//Luciferase reporter assay	Functional MTI	21569010
MIRT006445	hsa-miR-449a	Homo sapiens	BCL2	596	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24248414
MIRT006445	hsa-miR-449a	Homo sapiens	BCL2	596	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24260067
MIRT006445	hsa-miR-449a	Homo sapiens	BCL2	596	Homo sapiens	qRT-PCR//Western blot	Functional MTI	24960059
MIRT006446	hsa-miR-449a	Homo sapiens	NOTCH1	4851	Homo sapiens	ChIP-seq//Luciferase reporter assay	Functional MTI	21569010
MIRT006446	hsa-miR-449a	Homo sapiens	NOTCH1	4851	Homo sapiens	Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23226395
MIRT006447	hsa-miR-335-5p	Homo sapiens	MAPK1	5594	Homo sapiens	Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22382496
MIRT006448	hsa-miR-335-5p	Homo sapiens	LRG1	116844	Homo sapiens	Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22382496
MIRT006449	hsa-miR-204-5p	Homo sapiens	MAP1LC3B	81631	Homo sapiens	Immunoblot//Immunofluorescence//qRT-PCR//Western blot	Functional MTI	22516261
MIRT006450	hsa-miR-126-3p	Homo sapiens	KRAS	3845	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22384141
MIRT006451	hsa-miR-124-3p	Homo sapiens	AR	367	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22386953
MIRT006451	hsa-miR-124-3p	Homo sapiens	AR	367	Homo sapiens	Luciferase reporter assay	Functional MTI	23069658
MIRT006452	hsa-miR-409-3p	Homo sapiens	PHF10	55274	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22388101
MIRT006453	hsa-miR-199a-3p	Homo sapiens	FUT4	2526	Homo sapiens	Flow//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22411914
MIRT006454	hsa-miR-25-3p	Homo sapiens	CCL26	10344	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22431589
MIRT006455	hsa-miR-338-3p	Homo sapiens	SMO	6608	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Western blot;qRT-PCR	Functional MTI	21671467
MIRT006455	hsa-miR-338-3p	Homo sapiens	SMO	6608	Homo sapiens	Western blot	Functional MTI	23599646
MIRT006455	hsa-miR-338-3p	Homo sapiens	SMO	6608	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24277750
MIRT006456	hsa-miR-192-5p	Homo sapiens	ERCC4	2072	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21672525
MIRT006458	hsa-miR-34b-3p	Homo sapiens	NOTCH1	4851	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22498974
MIRT006458	hsa-miR-34b-3p	Homo sapiens	NOTCH1	4851	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23955600
MIRT006459	hsa-miR-34c-5p	Homo sapiens	NOTCH1	4851	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22498974
MIRT006459	hsa-miR-34c-5p	Homo sapiens	NOTCH1	4851	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23955600
MIRT006460	hsa-miR-204-5p	Homo sapiens	CREB5	9586	Homo sapiens	Immunofluorescence//Microarray//qRT-PCR//Western blot	Functional MTI	22523078
MIRT006461	hsa-miR-204-5p	Homo sapiens	ELOVL6	79071	Homo sapiens	Immunofluorescence//Microarray//qRT-PCR//Western blot	Functional MTI	22523078
MIRT006462	hsa-miR-211-5p	Homo sapiens	CREB5	9586	Homo sapiens	Immunofluorescence//Microarray//qRT-PCR//Western blot	Functional MTI	22523078
MIRT006463	hsa-miR-211-5p	Homo sapiens	ELOVL6	79071	Homo sapiens	Immunofluorescence//Microarray//qRT-PCR//Western blot	Functional MTI	22523078
MIRT006464	hsa-miR-211-5p	Homo sapiens	TCF12	6938	Homo sapiens	Immunofluorescence//Microarray//qRT-PCR//Western blot	Functional MTI	22523078
MIRT006465	hsa-miR-211-5p	Homo sapiens	RAB22A	57403	Homo sapiens	Immunofluorescence//Microarray//qRT-PCR//Western blot	Functional MTI	22523078
MIRT006465	hsa-miR-211-5p	Homo sapiens	RAB22A	57403	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	24039954
MIRT006467	hsa-miR-22-3p	Homo sapiens	PTMS	5763	Homo sapiens	Luciferase reporter assay//Microarray//Northern blot//qRT-PCR//Western blot	Functional MTI	22493679
MIRT006468	hsa-miR-31-5p	Homo sapiens	HIF1AN	55662	Homo sapiens	Northern blot//qRT-PCR//Western blot	Functional MTI	22532441
MIRT006469	hsa-miR-143-3p	Homo sapiens	MACC1	346389	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22533346
MIRT006471	hsa-miR-125a-5p	Homo sapiens	TNFAIP3	7128	Homo sapiens	qRT-PCR//Western blot	Functional MTI	22550173
MIRT006472	hsa-miR-125b-5p	Homo sapiens	TNFAIP3	7128	Homo sapiens	qRT-PCR//Western blot	Functional MTI	22550173
MIRT006473	hsa-miR-708-5p	Homo sapiens	AKT2	208	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	22552290
MIRT006474	hsa-miR-708-5p	Homo sapiens	CD44	960	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	22552290
MIRT006475	hsa-miR-19a-3p	Homo sapiens	CUL5	8065	Homo sapiens	qRT-PCR//Western blot	Functional MTI	22561557
MIRT006476	hsa-miR-19b-3p	Homo sapiens	CUL5	8065	Homo sapiens	qRT-PCR//Western blot	Functional MTI	22561557
MIRT006477	hsa-miR-328-3p	Homo sapiens	PTPRJ	5795	Homo sapiens	qRT-PCR//Western blot	Functional MTI	22564856
MIRT006478	hsa-miR-124-3p	Homo sapiens	ROCK2	9475	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;qRT-PCR	Functional MTI	21672940
MIRT006479	hsa-miR-124-3p	Homo sapiens	EZH2	2146	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;qRT-PCR	Functional MTI	21672940
MIRT006479	hsa-miR-124-3p	Homo sapiens	EZH2	2146	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//MTT assay//Quantitative proteomic approach	Functional MTI	24658854
MIRT006479	hsa-miR-124-3p	Homo sapiens	EZH2	2146	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23404119
MIRT006481	hsa-miR-181a-5p	Homo sapiens	DUSP6	1848	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	17382377
MIRT006482	hsa-miR-181a-5p	Homo sapiens	PTPN11	5781	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	17382377
MIRT006483	hsa-miR-181a-5p	Homo sapiens	DUSP5	1847	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	17382377
MIRT006484	hsa-miR-181a-5p	Homo sapiens	PTPN22	26191	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	17382377
MIRT006485	hsa-miR-29a-3p	Homo sapiens	PPP1R13B	23368	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19079265
MIRT006486	hsa-miR-29b-3p	Homo sapiens	PPP1R13B	23368	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19079265
MIRT006487	hsa-miR-29c-3p	Homo sapiens	PPP1R13B	23368	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19079265
MIRT006488	hsa-miR-29b-3p	Homo sapiens	CDC42	998	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19079265
MIRT006488	hsa-miR-29b-3p	Homo sapiens	CDC42	998	Homo sapiens	qRT-PCR//Western blot	Functional MTI	20507733
MIRT006489	hsa-miR-29c-3p	Homo sapiens	CDC42	998	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19079265
MIRT006489	hsa-miR-29c-3p	Homo sapiens	CDC42	998	Homo sapiens	qRT-PCR//Western blot	Functional MTI	20507733
MIRT006490	hsa-miR-29a-3p	Homo sapiens	CDC42	998	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19079265
MIRT006490	hsa-miR-29a-3p	Homo sapiens	CDC42	998	Homo sapiens	qRT-PCR//Western blot	Functional MTI	20507733
MIRT006490	hsa-miR-29a-3p	Homo sapiens	CDC42	998	Homo sapiens	Luciferase reporter assay	Functional MTI	24085298
MIRT006493	hsa-miR-138-5p	Homo sapiens	H2AFX	3014	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	21693595
MIRT006494	hsa-miR-145-5p	Homo sapiens	ITGB8	3696	Homo sapiens	Immunofluorescence//Luciferase reporter assay//qRT-PCR//GFP reporter assay//In situ hybridization//Microarray//Western blot	Functional MTI	21701675
MIRT006495	hsa-miR-125b-5p	Homo sapiens	PIGF	5281	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21703189
MIRT006496	hsa-miR-203a-3p	Homo sapiens	CREB1	1385	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	21707582
MIRT006497	hsa-miR-320a	Homo sapiens	AQP1	358	Homo sapiens	Luciferase reporter assay	Functional MTI	20628061
MIRT006498	hsa-miR-320a	Homo sapiens	AQP4	361	Homo sapiens	Luciferase reporter assay	Functional MTI	20628061
MIRT006499	hsa-miR-633	Homo sapiens	TGFB1	7040	Homo sapiens	Luciferase reporter assay	Functional MTI	20637737
MIRT006500	hsa-miR-125b-5p	Homo sapiens	BCL3	602	Homo sapiens	Luciferase reporter assay	Functional MTI	20658525
MIRT006501	hsa-miR-217	Homo sapiens	KRAS	3845	Homo sapiens	Luciferase reporter assay//Reporter assay	Functional MTI	20675343
MIRT006502	hsa-miR-449a	Homo sapiens	WISP2	8839	Homo sapiens	Luciferase reporter assay	Functional MTI	19351815
MIRT006503	hsa-miR-132-3p	Homo sapiens	RB1	5925	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay;Western blot;qRT-PCR	Functional MTI	21329664
MIRT006504	hsa-miR-212-3p	Homo sapiens	RB1	5925	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay;Western blot;qRT-PCR	Functional MTI	21329664
MIRT006506	hsa-miR-331-3p	Homo sapiens	E2F1	1869	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20510161
MIRT006507	hsa-miR-24-3p	Homo sapiens	FAF1	11124	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20195546
MIRT006509	hsa-miR-27b-3p	Homo sapiens	VDR	7421	Homo sapiens	Immunoblot//Luciferase reporter assay	Functional MTI	19581388
MIRT006509	hsa-miR-27b-3p	Homo sapiens	VDR	7421	Homo sapiens	qRT-PCR//Western blot	Functional MTI	22213330
MIRT006510	hsa-miR-27b-3p	Homo sapiens	CYP3A4	1576	Homo sapiens	Immunoblot//Luciferase reporter assay	Functional MTI	19581388
MIRT006511	hsa-miR-200b-3p	Homo sapiens	RND3	390	Homo sapiens	Luciferase reporter assay	Functional MTI	20683643
MIRT006511	hsa-miR-200b-3p	Homo sapiens	RND3	390	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	24667864
MIRT006511	hsa-miR-200b-3p	Homo sapiens	RND3	390	Homo sapiens	Luciferase reporter assay	Functional MTI	24151081
MIRT006512	hsa-miR-520b	Homo sapiens	CD46	4179	Homo sapiens	ELISA//Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Western blot;qRT-PCR;Other	Functional MTI	20574151
MIRT006513	hsa-miR-520e	Homo sapiens	CD46	4179	Homo sapiens	ELISA//Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Western blot;qRT-PCR;Other	Functional MTI	20574151
MIRT006515	hsa-miR-21-5p	Homo sapiens	ANP32A	8125	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21317927
MIRT006516	hsa-miR-21-5p	Homo sapiens	SMARCA4	6597	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21317927
MIRT001749	hsa-miR-375	Homo sapiens	JAK2	3717	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay;Western blot	Functional MTI	20548334
MIRT001749	hsa-miR-375	Homo sapiens	JAK2	3717	Homo sapiens	Reporter assay	Functional MTI	15806104
MIRT001749	hsa-miR-375	Homo sapiens	JAK2	3717	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24718681
MIRT001749	hsa-miR-375	Homo sapiens	JAK2	3717	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	25055044
MIRT006517	hsa-miR-155-5p	Homo sapiens	UQCRFS1	7386	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20550618
MIRT006519	hsa-miR-210-3p	Homo sapiens	CASP8AP2	9994	Homo sapiens	Luciferase reporter assay	Functional MTI	19721136
MIRT006520	hsa-miR-200c-3p	Homo sapiens	ERRFI1	54206	Homo sapiens	Luciferase reporter assay	Functional MTI	19671845
MIRT006521	hsa-miR-27a-3p	Homo sapiens	PAX3	5077	Homo sapiens	Luciferase reporter assay//Reporter assay;Other	Functional MTI	19666532
MIRT006522	hsa-miR-27b-3p	Homo sapiens	PAX3	5077	Homo sapiens	Luciferase reporter assay//Reporter assay;Western blot;Other	Functional MTI	19666532
MIRT006523	hsa-miR-125b-5p	Homo sapiens	TBC1D1	23216	Homo sapiens	Luciferase reporter assay	Functional MTI	19635812
MIRT006524	hsa-miR-125b-5p	Homo sapiens	DGAT1	8694	Homo sapiens	Luciferase reporter assay	Functional MTI	19635812
MIRT002370	hsa-miR-125b-5p	Homo sapiens	SGPL1	8879	Homo sapiens	Luciferase reporter assay	Functional MTI	19635812
MIRT006527	hsa-miR-224-5p	Homo sapiens	SMAD4	4089	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20118412
MIRT006527	hsa-miR-224-5p	Homo sapiens	SMAD4	4089	Homo sapiens	qRT-PCR//Western blot	Functional MTI	23922662
MIRT006530	hsa-miR-146a-5p	Homo sapiens	TLR4	7099	Homo sapiens	ELISA//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	21329689
MIRT006627	mmu-miR-100-5p	Homo sapiens	MTOR	2475	Homo sapiens	Immunohistochemistry//Microarray//qRT-PCR//Western blot	Functional MTI	21339483
MIRT006533	hsa-miR-451a	Homo sapiens	RAB14	51552	Homo sapiens	Flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot//Reporter assay	Functional MTI	21358675
MIRT006534	hsa-miR-16-5p	Homo sapiens	ZYX	7791	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21360639
MIRT006535	hsa-miR-383-5p	Homo sapiens	IRF1	3659	Homo sapiens	Flow//Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21368870
MIRT006536	hsa-miR-10a-5p	Homo sapiens	SRSF1	6426	Homo sapiens	Luciferase reporter assay	Functional MTI	21118818
MIRT006537	hsa-miR-10a-5p	Homo sapiens	TRA2B	6434	Homo sapiens	Luciferase reporter assay	Functional MTI	21118818
MIRT006538	hsa-miR-10b-5p	Homo sapiens	TRA2B	6434	Homo sapiens	Luciferase reporter assay	Functional MTI	21118818
MIRT006539	hsa-miR-10b-5p	Homo sapiens	SRSF1	6426	Homo sapiens	Luciferase reporter assay	Functional MTI	21118818
MIRT006540	hsa-miR-183-5p	Homo sapiens	EGR1	1958	Homo sapiens	Luciferase reporter assay	Functional MTI	21118966
MIRT006541	hsa-miR-124-3p	Homo sapiens	IL6R	3570	Homo sapiens	ELISA//Flow//Immunohistochemistry//Immunoprecipitaion//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22153071
MIRT006542	hsa-miR-629-5p	Homo sapiens	HNF4A	3172	Homo sapiens	ELISA//Flow//Immunohistochemistry//Immunoprecipitaion//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22153071
MIRT006543	hsa-miR-126-3p	Homo sapiens	IGFBP2	3485	Homo sapiens	ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22170610
MIRT006544	hsa-miR-126-3p	Homo sapiens	PITPNC1	26207	Homo sapiens	ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22170610
MIRT006545	hsa-miR-126-3p	Homo sapiens	MERTK	10461	Homo sapiens	ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22170610
MIRT006546	hsa-miR-34a-5p	Homo sapiens	FOSL1	8061	Homo sapiens	Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22198213
MIRT006546	hsa-miR-34a-5p	Homo sapiens	FOSL1	8061	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	23001043
MIRT006547	hsa-miR-27b-3p	Homo sapiens	CCNT1	904	Homo sapiens	Flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22205749
MIRT006548	hsa-miR-181d-5p	Homo sapiens	HRAS	3265	Homo sapiens	FACS//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22207524
MIRT006549	hsa-miR-29a-3p	Homo sapiens	NAV3	89795	Homo sapiens	Luciferase reporter assay	Functional MTI	20202123
MIRT001343	hsa-miR-1-3p	Homo sapiens	PTMA	5757	Homo sapiens	Immunoblot//Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22210864
MIRT001343	hsa-miR-1-3p	Homo sapiens	PTMA	5757	Homo sapiens	Luciferase reporter assay	Functional MTI	22059741
MIRT002751	hsa-miR-1-3p	Homo sapiens	XPO6	23214	Homo sapiens	Immunoblot//Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22210864
MIRT006550	hsa-miR-1-3p	Homo sapiens	NOTCH3	4854	Homo sapiens	Immunoblot//Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22210864
MIRT006550	hsa-miR-1-3p	Homo sapiens	NOTCH3	4854	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23055528
MIRT006550	hsa-miR-1-3p	Homo sapiens	NOTCH3	4854	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24244701
MIRT006551	hsa-miR-29a-3p	Homo sapiens	PXDN	7837	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20566844
MIRT006552	hsa-miR-29a-3p	Homo sapiens	BCL7A	605	Homo sapiens	Luciferase reporter assay	Non-Functional MTI	20566844
MIRT006553	hsa-miR-29a-3p	Homo sapiens	ITIH5	80760	Homo sapiens	Luciferase reporter assay	Non-Functional MTI	20566844
MIRT006554	hsa-miR-133b	Homo sapiens	FSCN1	6624	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay	Functional MTI	20198616
MIRT006554	hsa-miR-133b	Homo sapiens	FSCN1	6624	Homo sapiens	Reporter assay;Western blot;qRT-PCR	Functional MTI	21351259
MIRT006554	hsa-miR-133b	Homo sapiens	FSCN1	6624	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25433493
MIRT006555	hsa-miR-302a-3p	Homo sapiens	NR2F2	7026	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21151097
MIRT003452	hsa-miR-221-3p	Homo sapiens	TIMP3	7078	Homo sapiens	Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19962668
MIRT003452	hsa-miR-221-3p	Homo sapiens	TIMP3	7078	Homo sapiens	Immunohistochemistry//In situ hybridization//qRT-PCR//Western blot	Functional MTI	22009755
MIRT003452	hsa-miR-221-3p	Homo sapiens	TIMP3	7078	Homo sapiens	ELISA//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22681957
MIRT003451	hsa-miR-222-3p	Homo sapiens	TIMP3	7078	Homo sapiens	Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19962668
MIRT003451	hsa-miR-222-3p	Homo sapiens	TIMP3	7078	Homo sapiens	Immunohistochemistry//In situ hybridization//qRT-PCR//Western blot	Functional MTI	22009755
MIRT003451	hsa-miR-222-3p	Homo sapiens	TIMP3	7078	Homo sapiens	ELISA//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22681957
MIRT006558	hsa-miR-126-3p	Homo sapiens	EGFL7	51162	Homo sapiens	Flow//Immunoblot//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot//Western blot;qRT-PCR;Other	Functional MTI	20034472
MIRT006558	hsa-miR-126-3p	Homo sapiens	EGFL7	51162	Homo sapiens	Reporter assay	Non-Functional MTI	21249429
MIRT006559	hsa-miR-223-3p	Homo sapiens	SLC2A4	6517	Homo sapiens	Flow//Immunoblot//Immunofluorescence//Immunohistochemistry//Immunoprecipitaion//In situ hybridization//Luciferase reporter assay//Northern blot//qRT-PCR	Functional MTI	20080987
MIRT006560	hsa-miR-199a-3p	Homo sapiens	SMARCA2	6595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21189327
MIRT006561	hsa-miR-199a-5p	Homo sapiens	SMARCA2	6595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21189327
MIRT001478	hsa-miR-16-5p	Homo sapiens	ARL2	402	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Microarray;Other	Functional MTI	21199864
MIRT006562	hsa-miR-124-3p	Homo sapiens	HMGA1	3159	Homo sapiens	Flow//Immunohistochemistry//Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22249617
MIRT006563	hsa-miR-30a-5p	Homo sapiens	DTL	51514	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22287560
MIRT006564	hsa-miR-99b-5p	Homo sapiens	MTOR	2475	Homo sapiens	FACS//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22299047
MIRT006564	hsa-miR-99b-5p	Homo sapiens	MTOR	2475	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24668416
MIRT006567	hsa-miR-31-5p	Homo sapiens	SATB2	23314	Homo sapiens	Luciferase reporter assay	Functional MTI	20980827
MIRT006567	hsa-miR-31-5p	Homo sapiens	SATB2	23314	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24565840
MIRT006567	hsa-miR-31-5p	Homo sapiens	SATB2	23314	Homo sapiens	In situ hybridization//Luciferase reporter assay//Western blot	Functional MTI	24386467
MIRT006568	hsa-miR-106b-5p	Homo sapiens	EOMES	8320	Homo sapiens	Luciferase reporter assay	Functional MTI	20709030
MIRT006570	hsa-miR-191-5p	Homo sapiens	MDM4	4194	Homo sapiens	Luciferase reporter assay	Functional MTI	21084273
MIRT003765	hsa-miR-1-3p	Homo sapiens	PNP	4860	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22068816
MIRT003765	hsa-miR-1-3p	Homo sapiens	PNP	4860	Homo sapiens	Western blot;qRT-PCR;Microarray	Functional MTI	21701775
MIRT006571	hsa-miR-133a-3p	Homo sapiens	PNP	4860	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22068816
MIRT006571	hsa-miR-133a-3p	Homo sapiens	PNP	4860	Homo sapiens	Western blot;qRT-PCR;Microarray	Functional MTI	21701775
MIRT006572	hsa-miR-296-5p	Homo sapiens	IKBKE	9641	Homo sapiens	Luciferase reporter assay	Functional MTI	22114321
MIRT006574	hsa-miR-1245a	Homo sapiens	BRCA2	675	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22158906
MIRT006575	hsa-miR-320a	Homo sapiens	NPR1	4881	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22134529
MIRT006576	hsa-miR-34a-5p	Homo sapiens	EPHA5	2044	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22079638
MIRT006630	hsa-miR-32-5p	Homo sapiens	TSC1	7248	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22431589
