Study,Well,Sample,Sample Name,Row,Column,PrimerPair,BCM,Dilution,ExposureTime,Replicate,CellLine,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
110116,50,Liners_1_5_22hr,C2,C,2,miR-193b,LINERS,1_5,22hr,2,VK2,sybr,SYBR,Unknown,24.219238,76.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,51,Liners_1_5_22hr,C3,C,3,miR-193b,LINERS,1_5,22hr,3,VK2,sybr,SYBR,Unknown,24.303797,77.1,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,60,Liners_1_5_22hr,C12,C,12,miR-182,LINERS,1_5,22hr,1,VK2,sybr,SYBR,Unknown,24.555363,76.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,61,Liners_1_5_22hr,C13,C,13,miR-182,LINERS,1_5,22hr,2,VK2,sybr,SYBR,Unknown,24.372677,76.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,62,Liners_1_5_22hr,C14,C,14,miR-182,LINERS,1_5,22hr,3,VK2,sybr,SYBR,Unknown,24.372112,76.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,70,Liners_1_5_22hr,C22,C,22,RNU6,LINERS,1_5,22hr,1,VK2,sybr,SYBR,Unknown,20.36697,75.1,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,71,Liners_1_5_22hr,C23,C,23,RNU6,LINERS,1_5,22hr,2,VK2,sybr,SYBR,Unknown,20.2788,61.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,72,Liners_1_5_22hr,C24,C,24,RNU6,LINERS,1_5,22hr,3,VK2,sybr,SYBR,Unknown,20.260496,61.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,97,Gvag_1_5_22hr,E1,E,1,miR-193b,GVAG,1_5,22hr,1,VK2,sybr,SYBR,Unknown,23.349781,77.1,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,98,Gvag_1_5_22hr,E2,E,2,miR-193b,GVAG,1_5,22hr,2,VK2,sybr,SYBR,Unknown,23.47953,77.1,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,99,Gvag_1_5_22hr,E3,E,3,miR-193b,GVAG,1_5,22hr,3,VK2,sybr,SYBR,Unknown,23.212791,77.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,108,Gvag_1_5_22hr,E12,E,12,miR-182,GVAG,1_5,22hr,1,VK2,sybr,SYBR,Unknown,23.660078,76.7,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,109,Gvag_1_5_22hr,E13,E,13,miR-182,GVAG,1_5,22hr,2,VK2,sybr,SYBR,Unknown,23.701002,76.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,110,Gvag_1_5_22hr,E14,E,14,miR-182,GVAG,1_5,22hr,3,VK2,sybr,SYBR,Unknown,23.713217,76.7,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,118,Gvag_1_5_22hr,E22,E,22,RNU6,GVAG,1_5,22hr,1,VK2,sybr,SYBR,Unknown,19.350414,61.9,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,119,Gvag_1_5_22hr,E23,E,23,RNU6,GVAG,1_5,22hr,2,VK2,sybr,SYBR,Unknown,19.380562,75.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,120,Gvag_1_5_22hr,E24,E,24,RNU6,GVAG,1_5,22hr,3,VK2,sybr,SYBR,Unknown,19.441587,75.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,145,Media_1_5_22hr,G1,G,1,miR-193b,MEDIA,1_5,22hr,1,VK2,sybr,SYBR,Unknown,23.653873,77.1,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,146,Media_1_5_22hr,G2,G,2,miR-193b,MEDIA,1_5,22hr,2,VK2,sybr,SYBR,Unknown,23.58447,77.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,147,Media_1_5_22hr,G3,G,3,miR-193b,MEDIA,1_5,22hr,3,VK2,sybr,SYBR,Unknown,23.649412,77.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,156,Media_1_5_22hr,G12,G,12,miR-182,MEDIA,1_5,22hr,1,VK2,sybr,SYBR,Unknown,23.947172,76.7,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,157,Media_1_5_22hr,G13,G,13,miR-182,MEDIA,1_5,22hr,2,VK2,sybr,SYBR,Unknown,24.07756,76.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,158,Media_1_5_22hr,G14,G,14,miR-182,MEDIA,1_5,22hr,3,VK2,sybr,SYBR,Unknown,24.040823,76.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,166,Media_1_5_22hr,G22,G,22,RNU6,MEDIA,1_5,22hr,1,VK2,sybr,SYBR,Unknown,19.266712,75.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,167,Media_1_5_22hr,G23,G,23,RNU6,MEDIA,1_5,22hr,2,VK2,sybr,SYBR,Unknown,19.224285,75.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,168,Media_1_5_22hr,G24,G,24,RNU6,MEDIA,1_5,22hr,3,VK2,sybr,SYBR,Unknown,19.391138,75.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,193,NTC_1_5_22hr,I1,I,1,miR-193b,NTC,1_5,22hr,1,VK2,sybr,SYBR,Unknown,37.087048,77.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,,,,,,,
110116,194,NTC_1_5_22hr,I2,I,2,miR-193b,NTC,1_5,22hr,2,VK2,sybr,SYBR,Unknown,NA,86.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,TRUE,,,TRUE,,,
110116,195,NTC_1_5_22hr,I3,I,3,miR-193b,NTC,1_5,22hr,3,VK2,sybr,SYBR,Unknown,NA,81.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,TRUE,,,,,,
110116,204,NTC_1_5_22hr,I12,I,12,miR-182,NTC,1_5,22hr,1,VK2,sybr,SYBR,Unknown,35.714725,75.9,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,205,NTC_1_5_22hr,I13,I,13,miR-182,NTC,1_5,22hr,2,VK2,sybr,SYBR,Unknown,NA,66.9,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,TRUE,,,TRUE,,,
110116,206,NTC_1_5_22hr,I14,I,14,miR-182,NTC,1_5,22hr,3,VK2,sybr,SYBR,Unknown,34.84295,66.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,,,,,,,
110116,214,NTC_1_5_22hr,I22,I,22,RNU6,NTC,1_5,22hr,1,VK2,sybr,SYBR,Unknown,NA,63.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,TRUE,,,,,,
110116,215,NTC_1_5_22hr,I23,I,23,RNU6,NTC,1_5,22hr,2,VK2,sybr,SYBR,Unknown,NA,62.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,TRUE,,,TRUE,,,
110116,216,NTC_1_5_22hr,I24,I,24,RNU6,NTC,1_5,22hr,3,VK2,sybr,SYBR,Unknown,NA,80.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,TRUE,,TRUE,,,TRUE,,,
