,LJM.4,LJM.13,LJM.22,LIM.4,LIM.13,LIM.22,LCM.4,LCM.13,LCM.22,GVM.4,GVM.13,GVM.22
HMGB1 Signaling,3.35658556671309,2.98481002897855,2.44948974278318,3.5,2.11057941204435,1.73205080756888,3.63803437554499,2.47487373415292,0.554700196225229,3.46410161513775,2.82842712474619,0
Huntingtons Disease Signaling,0,0,0,0,0,0,1.26491106406735,0.192450089729875,0.308606699924184,0,0,0
Hypoxia Signaling in the Cardiovascular System,0,1.13389341902768,-0.377964473009227,0,0,0,2,2.33333333333333,1.73205080756888,0,0,0
iCOS-iCOSL Signaling in T Helper Cells,0,0,0,2.33333333333333,0.447213595499958,0,0,0,0,0,0,0
IGF-1 Signaling,0,0,0,-1.13389341902768,-2,0,0,0,0,0,0,0
IL-1 Signaling,0,0,0,2.71360210119987,2.23606797749979,1.88982236504614,2.33333333333333,-0.426401432711221,-0.898026510133875,2.64575131106459,2,1
IL-17A Signaling in Airway Cells,0.333333333333333,0.301511344577764,0.577350269189626,0,-1,-0.447213595499958,0,-0.471404520791032,-1.09544511501033,0.447213595499958,0,0
IL-22 Signaling,0,0,0,0,0,0,0,-1.13389341902768,-2.49615088301353,0,0,0
IL-6 Signaling,1.80739222823013,1.88982236504614,1.34164078649987,3.13049516849971,1.50755672288882,0.904534033733291,2.182820625327,1.2977713690461,1.38675049056307,3.29983164553722,2.82842712474619,0
IL-8 Signaling,0,0,0,2.32379000772445,1.73205080756888,1.9414506867883,1.78885438199983,1.23442679969674,0,2.5298221281347,2.44948974278318,2.23606797749979
IL-9 Signaling,0.816496580927726,0,0.707106781186547,0.707106781186547,-0.816496580927726,0,0,0.5,-0.229415733870562,1.63299316185545,0,0
ILK Signaling,0,0,0,2.66789187539966,0.333333333333333,-0.301511344577764,2.35702260395516,1.20604537831105,0.124034734589208,2.64575131106459,0,0
Induction of Apoptosis by HIV1,-0.707106781186547,-1.5,-0.5,-0.534522483824849,0.377964473009227,0,-0.577350269189626,-1.22474487139159,-1.13389341902768,0.333333333333333,0.447213595499958,0
Inflammasome pathway,0,0,0,1.63299316185545,0,2,2,1,0.333333333333333,2.23606797749979,0,0
Inhibition of Angiogenesis by TSP1,0,0,0,0,0,-0.447213595499958,0,-1.13389341902768,-1.38675049056307,0,0,0
iNOS Signaling,2,0.534522483824849,0.377964473009227,2.23606797749979,2.23606797749979,1.88982236504614,2.44948974278318,0.774596669241483,0.447213595499958,2.82842712474619,2,1.34164078649987
Interferon Signaling,0,-2.33333333333333,-2.3094010767585,2,2.44948974278318,1.63299316185545,0,-1.50755672288882,-0.774596669241483,3,0,-1.88982236504614
JAK/Stat Signaling,1,0.727606875108999,0.277350098112615,0,0,0,0.707106781186547,0.2,-0.316227766016838,1.41421356237309,0,0
Leukocyte Extravasation Signaling,0,0,0,1.41421356237309,0.534522483824849,1.80739222823013,0,0,0,2,1.66666666666667,1.63299316185545
LPS-stimulated MAPK Signaling,2.5298221281347,0.577350269189626,0.727606875108999,0,0,0,1.89736659610103,0.229415733870562,-0.169030850945703,0,0,0
LPS/IL-1 Mediated Inhibition of RXR Function,0,0,0,1,1.13389341902768,-1.13389341902768,0,0,0,1,0.377964473009227,0
LXR/RXR Activation,0,0,0,-1.9414506867883,-1.29099444873581,-1.26491106406735,-0.333333333333333,-1.63299316185545,-2.55603860169078,-2,-2.1380899352994,0
Lymphotoxin β Receptor Signaling,0.377964473009227,-0.333333333333333,0.301511344577764,1,-1,0,0.377964473009227,0.5,0.625543242171224,1,0,0
Macropinocytosis Signaling,0,0,0,0,-1,0,0,0,0,0,0,0
Melatonin Signaling,2.23606797749979,-1.89736659610103,-1.21267812518166,0,0,0,0,0,0,0,0,0
MIF Regulation of Innate Immunity,0.816496580927726,0.707106781186547,0.816496580927726,2.23606797749979,1.34164078649987,1.34164078649987,1.88982236504614,1.89736659610103,0.229415733870562,2.23606797749979,0,0
MIF-mediated Glucocorticoid Regulation,1,0.816496580927726,1.34164078649987,2,2,2,2,1.63299316185545,0,2.23606797749979,0,0
Mitotic Roles of Polo-Like Kinase,0,0,0,0,0,0,0,-3.57770876399966,-2.68328157299975,0,0,0
Neuregulin Signaling,0,0.577350269189626,0,1.89736659610103,1.13389341902768,-0.377964473009227,0.333333333333333,0,-0.730296743340221,2,1,0
NF-κB Activation by Viruses,0,0,0,0,0,0,0,0,0,2,2,0
NF-κB Signaling,0.727606875108999,-0.480384461415261,-0.538815906080325,1.96116135138184,1.60591013709393,1.0690449676497,0.727606875108999,-0.832050294337844,-2.06559111797729,1.88561808316413,2.3094010767585,0.816496580927726
NGF Signaling,0,0,0,0,0,0,1.13389341902768,0.377964473009227,-0.308606699924184,0,0,0
Nitric Oxide Signaling in the Cardiovascular System,0,0,0,0,0,0,0,0,0,0,0,0
Non-Small Cell Lung Cancer Signaling,0,0,0,0,0,0,-0.816496580927726,-1.60356745147455,-1,0,0,0
Notch Signaling,0,-0.816496580927726,-0.707106781186547,0,0,0,0,-1,0,0,0,0
NRF2-mediated Oxidative Stress Response,2.33333333333333,3.13049516849971,3.77964473009227,2.12132034355964,1.66666666666667,1.26491106406735,2.49615088301353,1.51185789203691,0.948683298050514,0,0,0
Oncostatin M Signaling,0,0,0,0,0,0,0,-0.377964473009227,-1.0690449676497,0,0,0
OX40 Signaling Pathway,0,0,0,-0.447213595499958,0,-0.447213595499958,0,0,0,0,0,0
p38 MAPK Signaling,-0.301511344577764,0.179605302026775,-0.625543242171224,2.32379000772445,1.88982236504614,0.333333333333333,1.38675049056307,0,-1.09321633322024,3.20713490294909,2.23606797749979,0.707106781186547
p53 Signaling,0.774596669241483,-0.258198889747161,-1.34164078649987,1.41421356237309,0.447213595499958,0.816496580927726,0.577350269189626,0,-0.493196961916072,0,0,0
Pancreatic Adenocarcinoma Signaling,1,1.70560573084488,0.471404520791032,1.38675049056307,0.577350269189626,1.34164078649987,0,0.730296743340221,-0.617213399848368,2.12132034355964,2,0
PCP pathway,1,1.9414506867883,0,0,0,1.13389341902768,1.88982236504614,0.774596669241483,-0.852802865422442,0,0,0
PDGF Signaling,0,0,0,0,0,0,0.707106781186547,1.4142135623731,0.333333333333333,0,0,0
PEDF Signaling,1.13389341902768,0.5,0.727606875108999,-0.377964473009227,-1.34164078649987,0,0.816496580927726,0,-0.522232967867094,0,0,0
PI3K Signaling in B Lymphocytes,0,0,0,2.88675134594813,0.816496580927726,0.632455532033676,2.49615088301353,1.22474487139159,1.12089707663561,3,1,0
PI3K/AKT Signaling,0.333333333333333,2.23606797749979,1.34164078649987,0,0,0,0,0,0,1.63299316185545,0,0
PKCθ Signaling in T Lymphocytes,0,0,0,3.05085107923876,1.13389341902768,1.13389341902768,0,0,0,2.44948974278318,0,0
PPAR Signaling,-0.333333333333333,-1.56892908110547,-1.21267812518166,-3.15296312547233,-2.3094010767585,-0.904534033733291,-1.38675049056307,-1.09544511501033,-0.870388279778489,-3.05085107923876,-2.5298221281347,0
PPARα/RXRα Activation,0.301511344577764,-1.97565832229452,-1.63299316185545,-0.277350098112615,0,-0.333333333333333,0.277350098112615,-0.577350269189626,-0.666666666666667,-1.63299316185545,0.447213595499958,0
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,0,0,0,3.15296312547233,2.66789187539966,1.88561808316413,3.29983164553722,1.73205080756888,1.21267812518166,3.60555127546399,2.64575131106459,1.63299316185545
Prolactin Signaling,1,0,0.301511344577764,0,0,0,0.707106781186547,0,0,1,0,0
Protein Kinase A Signaling,0,0,0,-0.229415733870562,-2.5,-0.832050294337844,0,0,0,0,0,0
RANK Signaling in Osteoclasts,2.3094010767585,0.5,0.942809041582063,2.3094010767585,0.447213595499958,0.816496580927726,2.3094010767585,0.962250448649376,0,2.44948974278318,0,0
Relaxin Signaling,0,0,0,0,0,0,0,0,0,0.816496580927726,1,0
Retinoic acid Mediated Apoptosis Signaling,0,0,0,0,2.23606797749979,0,0.816496580927726,-0.688247201611685,-0.625543242171224,2,0,0
Role of BRCA1 in DNA Damage Response,0.447213595499958,-2.40039679259592,-3.35658556671309,0,0,0,0.447213595499958,-1.87662972651367,-2.74562589193458,0,0,0
Role of CHK Proteins in Cell Cycle Checkpoint Control,0,0,0,0,0,0,0,0,-0.727606875108999,0,0,0
Role of IL-17F in Allergic Inflammatory Airway Diseases,2,1.13389341902768,0.816496580927726,2.64575131106459,0,1,2.44948974278318,2.1380899352994,1.60356745147455,2.82842712474619,0,0
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency,0,0,0,1.34164078649987,-1,0,0,0,0,0,0,0
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency,0,-1,0,0,0,0,0,-1,0,0,0,0
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,2.12132034355964,0,-0.852802865422442,3.05085107923876,1.89736659610103,0.816496580927726,2.33333333333333,1.22474487139159,0.480384461415261,3.46410161513775,1.88982236504614,0
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza,0,0,0,0.377964473009227,-0.447213595499958,-1,0,0,0,0.447213595499958,0,0
Role of RIG1-like Receptors in Antiviral Innate Immunity,0,-0.632455532033676,-0.707106781186547,0.816496580927726,0,0,0,-0.377964473009227,0.301511344577764,2.23606797749979,0,0
Sphingosine-1-phosphate Signaling,0,0,0,1,-0.333333333333333,0.377964473009227,1.41421356237309,1.96116135138184,1.20604537831105,0,0,0
STAT3 Pathway,0,0,0,-1,0,0,0,0,0,0,0,0
Sumoylation Pathway,0,0,0,0,0,0,0.632455532033676,1.73205080756888,-0.762492851663023,-0.447213595499958,0,0
Tec Kinase Signaling,0,0,0,0,0,0,1.0690449676497,1.56669890360128,0,2.44948974278318,0,0
Telomerase Signaling,0.333333333333333,0.534522483824849,0.727606875108999,0,0,0,-0.377964473009227,-0.242535625036333,-0.377964473009227,0,0,0
TGF-β Signaling,0,0,0,1.41421356237309,0,1,0,0,0,0,0,0
Th1 Pathway,0,0,0,1,-0.816496580927726,-1,0,0,0,1.13389341902768,0,0
Th2 Pathway,0,0,0,0.707106781186547,-0.377964473009227,-0.447213595499958,0,0,0,0,0,0
Thrombopoietin Signaling,1.41421356237309,0.301511344577764,0.904534033733291,0,0,0,0,0,0,0,0,0
TNFR1 Signaling,0.333333333333333,-0.258198889747161,0.301511344577764,0.301511344577764,1,0.377964473009227,0.577350269189626,-0.218217890235992,0.426401432711221,1.13389341902768,0,0
TNFR2 Signaling,0.816496580927726,0.707106781186547,0.377964473009227,1.13389341902768,1,0.377964473009227,1,1.15470053837925,1.73205080756888,1.13389341902768,1,0
Toll-like Receptor Signaling,0.816496580927726,0.258198889747161,-0.577350269189626,2.49615088301353,2.33333333333333,1.66666666666667,1.41421356237309,-0.894427190999916,-1.22474487139159,2.5298221281347,2.12132034355964,2.23606797749979
TREM1 Signaling,0,0,0,3.3166247903554,1.41421356237309,2.12132034355964,1.66666666666667,1.52752523165195,0.962250448649376,3.60555127546399,1.88982236504614,0
Tumoricidal Function of Hepatic Natural Killer Cells,0,0,0,-1,0,0,0,-1,-0.333333333333333,0,0,0
TWEAK Signaling,-1.13389341902768,-0.904534033733291,0.632455532033676,-1.26491106406735,0,-0.707106781186547,-1.66666666666667,-1.69774937525433,-1.21267812518166,-1.13389341902768,0,0
Type I Diabetes Mellitus Signaling,0,0,0,1.60356745147455,2.12132034355964,2.64575131106459,0,0,0,2.5298221281347,2.23606797749979,0
Type II Diabetes Mellitus Signaling,0,0,0,0,0,0,1.41421356237309,-0.6,-0.800640769025436,1.63299316185545,2,0
UVA-Induced MAPK Signaling,0,0,0,1.34164078649987,0,0,2.12132034355964,-2.04124145231932,-2.72217861468648,0,0,0
UVC-Induced MAPK Signaling,0,0,0,0,0,0,0,0,-0.942809041582063,0,0,0
VDR/RXR Activation,0,0.577350269189626,0.333333333333333,0.707106781186547,1.34164078649987,0,1,0.577350269189626,0.688247201611685,1.63299316185545,1,0
Wnt/Ca+ pathway,1.34164078649987,0.632455532033676,0.534522483824849,0,0,0,0,0,0,0,0,0
Wnt/β-catenin Signaling,0.277350098112615,0.365148371670111,0.688247201611685,0,0,0,0,0,0,0,0,0
α-Adrenergic Signaling,0,0,0,0,0,0,0,0,0,0,0,0
