,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval
Prevotella_bivia,2.03604617213403,0.109780439121756,0.423403058466165,1
Aerococcus_viridans,2.02715362850647,0.219560878243513,0.192307870020043,1
Peptoniphilus_indolicus,2.00964012276269,0.277445109780439,0.335623136283626,1
FING_PEN,2.00562297470551,0.0538922155688623,0.0142420394420394,1
Escherichia_coli,1.97128002219059,0.13373253493014,0.355700985733986,0.878243512974052
Streptococcus_salivarius,1.88855886711439,0.105788423153693,0.27517517205914,0.796407185628742
Alloscardovia_omnicolens,1.70910534163159,0.245508982035928,0.546722500799029,0.888223552894212
Lactobacillus_gasseri,1.65873592566548,0.189620758483034,0.256952892408853,1
Firmicutes,1.64673575377893,0.00399201596806387,0.0434111055607243,0.173652694610778
Arcanobacterium_phocae,1.56508896410946,0.193612774451098,0.195786132334553,1
symptoms,1.55346984349939,0.101796407185629,0.13188609242839,0.648702594810379
Prevotella_buccalis,1.50175571998124,0.347305389221557,0.539591839356707,0.916167664670659
Anaerococcus,1.41676979467279,0.031936127744511,0.0204687710096028,0.295409181636727
Veillonella_atypica,1.292737285768,0.225548902195609,0.162716913923918,0.992015968063872
Staphylococcus_hominis,1.2772953220623,0.271457085828343,0.173406570942874,1
Prevotella_genogroup_7,1.25645631093867,0.301397205588822,0.199307267860886,0.984031936127745
Peptoniphilus_harei,1.23645708626932,0.413173652694611,0.567373676545198,1
Bifidobacteriaceae,1.00100150250438,0.167664670658683,0.0211226460453147,0.614770459081836
Bacteria,1.00100150250438,0.107784431137725,0.0256149759627865,0.207584830339321
Clostridiales_Family_XI._Incertae_Sedis,1.00100150250438,0.0878243512974052,0.014559345112137,0.586826347305389
Atopobium,1.00100150250438,0.06187624750499,0.0142566655832521,0.335329341317365
Peptoniphilus,1.00100150250438,0.143712574850299,0.020854816246031,0.506986027944112
Actinomycetales,1.00100150250438,0.18562874251497,0.030017983372323,0.385229540918164
Prevotella,1.00100150250438,0.199600798403194,0.0283483695398058,0.377245508982036
Actinomycetaceae,1.00100150250438,0.139720558882236,0.0210350172948638,0.287425149700599
Pseudomonas_stutzeri,1.00100150250438,0.18562874251497,0.0286106585909218,0.984031936127745
Pseudomonas_oryzihabitans,1.00100150250438,0.137724550898204,0.0103600274365027,0.660678642714571
Lactobacillus_salivarius,0.942261497096916,0.189620758483034,0.237962610171794,0.479041916167665
Peptostreptococcus_anaerobius,0.930709672172119,0.405189620758483,0.288413005240212,1
Porphyromonas_bennonis,0.921103264337197,0.467065868263473,0.261591068363863,0.982035928143713
Staphylococcus_haemolyticus,0.891982918346162,0.395209580838323,0.229864979281777,1
Acinetobacter_baumannii,0.877938545764875,0.177644710578842,0.261798798929883,0.724550898203593
Mycoplasma_genitalium,0.725997115246719,0.349301397205589,0.136078706234656,0.868263473053892
Howardella_ureilytica,0.66963639631807,0.473053892215569,0.196836908690558,1
Streptococcus_parasanguinis,0.662218307041859,0.373253493013972,0.12726522999882,0.984031936127745
Raoultella_planticola,0.639979161049749,0.457085828343313,0.413065603464601,1
Streptococcus_oralis,0.588443202465614,0.447105788423154,0.310235684136777,1
Finegoldia_magna,0.584622064092925,0.600798403193613,0.743792193849563,1
Bacteroides_uniformis,0.520951154887505,0.536926147704591,0.243412633673453,1
Streptococcus_equinus,0.472418356987649,0.325349301397206,0.248256942939372,0.231536926147705
Roseburia_faecis,0.471333644529015,0.487025948103792,0.108598084915439,1
Peptostreptococcus_stomatis,0.464650607318696,0.487025948103792,0.225821124600154,0.796407185628742
Staphylococcus_lugdunensis,0.447918934772975,0.42315369261477,0.197811114230483,1
Bifidobacterium_longum,0.349303648734793,0.435129740518962,0.2156665528092,0.950099800399202
Streptococcus_agalactiae,0.34623174657532,0.415169660678643,0.262830186448421,1
Lactobacillus_coleohominis,0.335450773588101,0.301397205588822,0.158228894841381,1
Campylobacter_ureolyticus,0.328171366753472,0.592814371257485,0.22900723357215,1
Mycoplasma_hominis,0.306766151945227,0.68063872255489,0.61882383589546,0.988023952095808
Dialister_sp._type_1,0.301017637434838,0.592814371257485,0.624193858670396,0.864271457085828
Aerococcus_christensenii,0.289283859853812,0.558882235528942,0.821845704975421,0.976047904191617
Prevotella_genogroup_6,0.271982071523567,0.475049900199601,0.162784510001996,0.508982035928144
Ureaplasma_parvum,0.230000390377233,0.518962075848303,0.595156874363122,1
Actinomyces_urogenitalis,0.202810289262308,0.528942115768463,0.35011711768814,0.996007984031936
Dialister_propionicifaciens,0.187855163632798,0.666666666666667,0.277539174535021,1
Veillonella_parvula,0.076191184233558,0.526946107784431,0.23479464763712,0.734530938123752
VAG_INT,0.0292533555322175,0.415169660678643,0.0346952380952381,0.996007984031936
Clostridiales,0,0.914171656686627,0.0367659821504635,0.197604790419162
Streptococcus,0,1,0.027489718124907,0.0678642714570858
candidate_division_TM7,0,1,0.0214226931432557,0.107784431137725
Staphylococcus,0,1,0,1
Actinobacteria_.class.,0,0.896207584830339,0.010760937822051,0.419161676646707
Veillonellaceae,0,0.728542914171657,0.0568412673977984,0.169660678642715
Mobiluncus,0,0.906187624750499,0.00727778043403194,0.500998003992016
Bacillales,0,1,0,1
Peptostreptococcus,0,1,0,1
Megasphaera,0,0.860279441117764,0.0173325080858424,0.325349301397206
Gammaproteobacteria,0,1,0,1
Veillonella,0,1,0,1
Bacteroides,0,0.902195608782435,0.0235599413787864,0.245508982035928
Lactobacillales,0,0.88622754491018,0.0154879094356971,0.349301397205589
Bifidobacterium,0,1,0,1
Aerococcus,0,1,0.0108100098486883,0.215568862275449
Lactobacillus_OTU1,0,0.794411177644711,0.00354502923976608,0.914171656686627
Dialister,0,0.730538922155689,0.0430699128359583,0.245508982035928
Porphyromonas,0,1,0.0260142877561734,0.0878243512974052
Roseburia,0,1,0.00389317889317888,0.405189620758483
Enterobacteriaceae,0,1,0,1
Lactobacillus_OTU2,0,0.768463073852295,0.000888888888888889,0.962075848303393
Lachnospiraceae,0,1,0,1
Bacteroides_coagulans,0,0.830339321357285,0.0221617461295379,0.243512974051896
Bacilli,0,1,0.00651140091863517,0.285429141716567
Proteobacteria,0,0.852295409181637,0.00740073446071539,0.624750499001996
Bacteroidales,0,1,0,1
Streptococcus_mitis,0,1,0,1
Actinomyces,0,1,0.0150282950507965,0.171656686626747
Ureaplasma,0,1,0.0122214442147657,0.201596806387226
Eubacterium,0,1,0,1
Fusobacterium_gonidiaformans,0,1,0,1
Enterococcus,0,1,0,1
Coriobacteriaceae,0,1,0,1
Lactobacillus_OTU4,0,1,0,1
Porphyromonas_asaccharolytica,0,1,0.00854084230570513,0.261477045908184
Fusobacterium,0,1,0,1
Arcanobacterium,0,1,0,1
Sutterella,0,1,0,1
Staphylococcus_capitis,0,1,0,1
Actinobacteridae,0,1,0,1
Sneathia,0,1,0,1
Lactobacillus,0,1,0,1
Lactobacillus_OTU3,0,1,0,1
Lactobacillus_delbrueckii,0,1,0,1
Streptococcus_anginosus_group,0,1,0,1
Lactobacillus_OTU5,0,1,0,1
Mycoplasma,0,1,0,1
Fusobacteriaceae,0,1,0,1
Ureaplasma_urealyticum,0,1,0,1
Lactobacillus_fermentum,0,0.377245508982036,0.00606677508537974,1
Lactobacillus_OTU8,0,1,0,1
Lactobacillus_OTU6,0,1,0,1
Mycoplasmataceae,0,1,0,1
Lactobacillus_OTU10,0,1,0,1
Lactobacillus_OTU7,0,1,0,1
Pseudomonas,0,1,0,1
Pseudomonas_aeruginosa,0,0.570858283433134,0.00928585858585859,0.918163672654691
Acinetobacter_calcoaceticus,0,0.708582834331337,0.0132446886446886,0.698602794411178
Acinetobacter_calcoaceticus.baumannii_complex,0,1,0,1
Staphylococcus_warneri,0,0.493013972055888,0.00610476190476191,0.984031936127745
Streptococcus_sanguinis,0,0.499001996007984,0.0035,1
Pseudomonadales,0,1,0,1
Streptococcus_mutans,0,0.82435129740519,0.00342857142857143,0.820359281437126
Lactobacillus_casei,0,1,0,1
Lactobacillus_rhamnosus,0,0.516966067864271,0.011047619047619,0.836327345309381
Serratia_marcescens,0,0.550898203592814,0.0101120448179272,0.770459081836327
Roseburia_intestinalis,0,0.508982035928144,0.00898717948717949,0.976047904191617
Roseburia_hominis,0,0.806387225548902,0.020767951310027,0.317365269461078
Lactobacillus_mucosae,0,1,0,1
Atopobiu,0,1,0,1
Pseudomonas_fluorescens,0,1,0,1
SEX_TOY,0,1,0,1
ANAL_SEX,0,1,0,1
ORAL_SEX,0,0.530938123752495,0.0051,0.99001996007984
Catonella_morbi,-0.00389464458649915,0.451097804391218,0.0520668970934785,0.942115768463074
Sneathia_sanguinegens,-0.071053778462225,0.590818363273453,1.11627001231463,0.982035928143713
Anaerococcus_tetradius,-0.305307146185604,0.778443113772455,0.538491306045029,1
Bifidobacterium_breve,-0.378106617818671,0.616766467065868,0.399666250585691,0.906187624750499
Bifidobacterium_bifidum,-0.495113821804142,0.616766467065868,0.271524173729578,0.447105788423154
Eubacterium_eligens,-0.51479925180959,0.726546906187625,0.0492148912804971,1
Dialister_sp._type_3,-0.523381808070056,0.760479041916168,0.105714822410411,0.998003992015968
Agrobacterium_tumefaciens,-0.543645294655399,0.538922155688623,0.031478999421631,0.956087824351297
Pediococcus_acidilactici,-0.57867300215512,0.610778443113772,0.0690146385850521,1
Atopobium_minutum,-0.685949745248273,0.802395209580838,0.282958121627667,1
Fusobacterium_nucleatum,-0.794223755374794,0.846307385229541,0.443328782344907,1
BirthControl,-0.81704145691825,0.704590818363273,0.0288233070037181,1
Sutterella_morbirenis,-0.991738525146048,0.844311377245509,0.366114773389891,1
Enterococcus_faecium,-1.00100150250438,0.82435129740519,0.0225322308118389,0.984031936127745
Eubacterium_saphenum,-1.02951206525378,0.852295409181637,0.0247236314298227,1
Staphylococcus_aureus,-1.11497637596519,0.734530938123752,0.186986713204996,0.988023952095808
Arcanobacterium_hippocoleae,-1.25940723532154,0.892215568862275,0.26095555336206,1
Streptococcus_intermedius,-1.26693979201741,0.748502994011976,0.0428200555172768,1
Eubacterium_siraeum,-1.3128642776219,0.850299401197605,0.0495841277901249,0.922155688622755
Atopobium_rimae,-1.38399282726142,0.890219560878243,0.033380755118021,0.984031936127745
Weissella_paramesenteroides,-1.41261636127188,0.842315369261477,0.0337524315387758,0.908183632734531
Veillonella_montpellierensis,-1.49446531442368,0.882235528942116,0.16597435947924,0.962075848303393
Lactobacillus_iners,-1.53035632132601,0.796407185628742,0.549085355204958,1
Sutterella_wadsworthensis,-1.67827214467172,0.908183632734531,0.234414025636533,0.243512974051896
Arcanobacterium_haemolyticum,-1.89405604683274,0.980039920159681,0.0525519007786419,0.998003992015968
Enterococcus_faecalis,-1.96662995266977,0.950099800399202,0.287842111963387,0.994011976047904
symptoms_nonBV,-2.04958396743829,0.950099800399202,0.115072754223958,0.421157684630739
Shuttleworthia_satelles,-2.65999551662664,0.994011976047904,0.0797745710321225,0.335329341317365
